id,City,State,District,Density,Latitude,Longitude,Rating,Number of Reviews,Hospital Name,info
Hospital #0,Anantpur,Andhra Pradesh,Ananthapuramu,219.608,14.696532573816466,77.5845696812239,4.1,229,Columbia Asia Hospital 1,Dr. Gupta (Dermatologist); Dr. Das (Pediatrician); Dr. Iyer (Oncologist); Dr. Nair (Orthopedic); Dr. Roy (Psychiatrist)
Hospital #11,Guntur,Andhra Pradesh,Guntur,855.9,16.35681097694647,80.41093695828027,4.3,439,Columbia Asia Hospital 12,Dr. Nair (Orthopedic); Dr. Roy (Psychiatrist); Dr. Ahuja (Cardiologist); Dr. Mehta (Gastroenterologist); Dr. Reddy (Endocrinologist)
Hospital #12,Guntur,Andhra Pradesh,Guntur,855.9,16.248378192058112,80.36956293029205,4.0,392,Indraprastha Hospital 13,Dr. Reddy (Endocrinologist); Dr. Gupta (Dermatologist); Dr. Das (Pediatrician); Dr. Singh (ENT Specialist); Dr. Roy (Psychiatrist)
Hospital #13,Guntur,Andhra Pradesh,Guntur,855.9,16.39529729071638,80.50233162057708,3.1,487,Indraprastha Hospital 14,Dr. Verma (Neurologist); Dr. Das (Pediatrician); Dr. Ahuja (Cardiologist); Dr. Singh (ENT Specialist); Dr. Roy (Psychiatrist)
Hospital #14,Guntur,Andhra Pradesh,Guntur,855.9,16.250507659236455,80.35677880705212,3.0,252,Narayana Hospital 15,Dr. Roy (Psychiatrist); Dr. Ahuja (Cardiologist); Dr. Reddy (Endocrinologist); Dr. Das (Pediatrician); Dr. Mehta (Gastroenterologist)
Hospital #15,Guntur,Andhra Pradesh,Guntur,855.9,16.23115384908339,80.48399400837442,2.7,26,Manipal Hospital 16,Dr. Ahuja (Cardiologist); Dr. Roy (Psychiatrist); Dr. Singh (ENT Specialist); Dr. Gupta (Dermatologist); Dr. Nair (Orthopedic)
Hospital #16,Guntur,Andhra Pradesh,Guntur,855.9,16.486378855179915,80.04728021729382,3.4,76,Medanta Hospital 17,Dr. Singh (ENT Specialist); Dr. Nair (Orthopedic); Dr. Reddy (Endocrinologist); Dr. Iyer (Oncologist); Dr. Mehta (Gastroenterologist)
Hospital #17,Guntur,Andhra Pradesh,Guntur,855.9,16.284372299701715,80.40853384583733,4.7,913,Narayana Hospital 18,Dr. Mehta (Gastroenterologist); Dr. Reddy (Endocrinologist); Dr. Gupta (Dermatologist); Dr. Roy (Psychiatrist); Dr. Verma (Neurologist)
Hospital #18,Guntur,Andhra Pradesh,Guntur,855.9,16.314286291683274,80.4597193136164,4.6,575,Narayana Hospital 19,Dr. Roy (Psychiatrist); Dr. Nair (Orthopedic); Dr. Reddy (Endocrinologist); Dr. Ahuja (Cardiologist); Dr. Iyer (Oncologist)
Hospital #19,Guntur,Andhra Pradesh,Guntur,855.9,16.3243416329625,80.41280052571909,4.7,317,Max Hospital 20,Dr. Singh (ENT Specialist); Dr. Das (Pediatrician); Dr. Verma (Neurologist); Dr. Reddy (Endocrinologist); Dr. Mehta (Gastroenterologist)
Hospital #20,Guntur,Andhra Pradesh,Guntur,855.9,16.29513292333803,80.4316695289919,4.4,281,Aster Hospital 21,Dr. Mehta (Gastroenterologist); Dr. Nair (Orthopedic); Dr. Singh (ENT Specialist); Dr. Das (Pediatrician); Dr. Verma (Neurologist)
Hospital #21,Guntur,Andhra Pradesh,Guntur,855.9,16.200465367682924,80.00290279776303,4.0,34,Manipal Hospital 22,Dr. Nair (Orthopedic); Dr. Gupta (Dermatologist); Dr. Singh (ENT Specialist); Dr. Mehta (Gastroenterologist); Dr. Reddy (Endocrinologist)
Hospital #22,Guntur,Andhra Pradesh,Guntur,855.9,16.30249851437953,80.43413724244195,4.6,575,Fortis Hospital 23,Dr. Nair (Orthopedic); Dr. Mehta (Gastroenterologist); Dr. Verma (Neurologist); Dr. Iyer (Oncologist); Dr. Roy (Psychiatrist)
Hospital #23,Guntur,Andhra Pradesh,Guntur,855.9,16.250142607358754,80.37129326808581,4.3,116,Narayana Hospital 24,Dr. Iyer (Oncologist); Dr. Reddy (Endocrinologist); Dr. Verma (Neurologist); Dr. Ahuja (Cardiologist); Dr. Gupta (Dermatologist)
Hospital #24,Guntur,Andhra Pradesh,Guntur,855.9,16.34687162003222,80.55983634446578,4.2,16,Saket City Hospital 25,Dr. Iyer (Oncologist); Dr. Mehta (Gastroenterologist); Dr. Gupta (Dermatologist); Dr. Verma (Neurologist); Dr. Reddy (Endocrinologist)
Hospital #25,Guntur,Andhra Pradesh,Guntur,855.9,16.410068089043385,80.40154284396147,3.2,142,BLK Hospital 26,Dr. Verma (Neurologist); Dr. Mehta (Gastroenterologist); Dr. Ahuja (Cardiologist); Dr. Reddy (Endocrinologist); Dr. Singh (ENT Specialist)
Hospital #26,Guntur,Andhra Pradesh,Guntur,855.9,16.307280099983082,80.42794990894367,4.6,443,Aster Hospital 27,Dr. Ahuja (Cardiologist); Dr. Das (Pediatrician); Dr. Reddy (Endocrinologist); Dr. Mehta (Gastroenterologist); Dr. Verma (Neurologist)
Hospital #27,Guntur,Andhra Pradesh,Guntur,855.9,16.337919417440453,79.95152324445125,2.6,30,Fortis Hospital 28,Dr. Reddy (Endocrinologist); Dr. Nair (Orthopedic); Dr. Ahuja (Cardiologist); Dr. Verma (Neurologist); Dr. Iyer (Oncologist)
Hospital #28,Guntur,Andhra Pradesh,Guntur,855.9,16.301770681777008,80.44456970332085,4.8,19688,Wockhardt Hospital 29,Dr. Singh (ENT Specialist); Dr. Gupta (Dermatologist); Dr. Verma (Neurologist); Dr. Mehta (Gastroenterologist); Dr. Ahuja (Cardiologist)
Hospital #29,Guntur,Andhra Pradesh,Guntur,855.9,16.38517875460687,80.30051259374858,3.2,161,Saket City Hospital 30,Dr. Das (Pediatrician); Dr. Ahuja (Cardiologist); Dr. Reddy (Endocrinologist); Dr. Nair (Orthopedic); Dr. Gupta (Dermatologist)
Hospital #30,Guntur,Andhra Pradesh,Guntur,855.9,16.066828712528896,80.42686360085742,5.0,2,Manipal Hospital 31,Dr. Singh (ENT Specialist); Dr. Ahuja (Cardiologist); Dr. Mehta (Gastroenterologist); Dr. Reddy (Endocrinologist); Dr. Roy (Psychiatrist)
Hospital #31,Guntur,Andhra Pradesh,Guntur,855.9,16.30284318872382,80.51240553090143,2.7,168,Apollo Hospital 32,Dr. Gupta (Dermatologist); Dr. Reddy (Endocrinologist); Dr. Mehta (Gastroenterologist); Dr. Ahuja (Cardiologist); Dr. Iyer (Oncologist)
Hospital #32,Guntur,Andhra Pradesh,Guntur,855.9,16.353511834690217,80.39153042579285,4.3,28,Saket City Hospital 33,Dr. Reddy (Endocrinologist); Dr. Ahuja (Cardiologist); Dr. Singh (ENT Specialist); Dr. Roy (Psychiatrist); Dr. Verma (Neurologist)
Hospital #33,Guntur,Andhra Pradesh,Guntur,855.9,16.337472725646204,80.44539567392478,4.4,2171,Artemis Hospital 34,Dr. Verma (Neurologist); Dr. Gupta (Dermatologist); Dr. Mehta (Gastroenterologist); Dr. Roy (Psychiatrist); Dr. Ahuja (Cardiologist)
Hospital #34,Guntur,Andhra Pradesh,Guntur,855.9,16.240588758064305,80.1089528676354,2.3,92,Aster Hospital 35,Dr. Iyer (Oncologist); Dr. Verma (Neurologist); Dr. Singh (ENT Specialist); Dr. Gupta (Dermatologist); Dr. Ahuja (Cardiologist)
Hospital #35,Guntur,Andhra Pradesh,Guntur,855.9,16.45554293378526,80.50209767997183,4.0,9,Primus Hospital 36,Dr. Nair (Orthopedic); Dr. Das (Pediatrician); Dr. Singh (ENT Specialist); Dr. Ahuja (Cardiologist); Dr. Reddy (Endocrinologist)
Hospital #36,Guntur,Andhra Pradesh,Guntur,855.9,16.273210095236287,80.46126205700541,4.5,479,Saket City Hospital 37,Dr. Singh (ENT Specialist); Dr. Das (Pediatrician); Dr. Ahuja (Cardiologist); Dr. Reddy (Endocrinologist); Dr. Mehta (Gastroenterologist)
Hospital #37,Guntur,Andhra Pradesh,Guntur,855.9,16.37446863527412,80.52953321710174,4.0,45,Global Hospital 38,Dr. Iyer (Oncologist); Dr. Das (Pediatrician); Dr. Reddy (Endocrinologist); Dr. Singh (ENT Specialist); Dr. Nair (Orthopedic)
Hospital #38,Guntur,Andhra Pradesh,Guntur,855.9,16.37496436323442,80.31089032511025,5.0,11,Apollo Hospital 39,Dr. Nair (Orthopedic); Dr. Reddy (Endocrinologist); Dr. Iyer (Oncologist); Dr. Verma (Neurologist); Dr. Ahuja (Cardiologist)
Hospital #39,Guntur,Andhra Pradesh,Guntur,855.9,16.38769581036906,80.08647938453377,3.2,13,Indraprastha Hospital 40,Dr. Gupta (Dermatologist); Dr. Verma (Neurologist); Dr. Nair (Orthopedic); Dr. Reddy (Endocrinologist); Dr. Mehta (Gastroenterologist)
Hospital #40,Guntur,Andhra Pradesh,Guntur,855.9,16.3126256896706,80.47413895638394,4.1,439,Indraprastha Hospital 41,Dr. Ahuja (Cardiologist); Dr. Verma (Neurologist); Dr. Singh (ENT Specialist); Dr. Nair (Orthopedic); Dr. Roy (Psychiatrist)
Hospital #41,Guntur,Andhra Pradesh,Guntur,855.9,16.3434197397175,80.44037332268107,4.6,742,Paras Hospital 42,Dr. Mehta (Gastroenterologist); Dr. Das (Pediatrician); Dr. Roy (Psychiatrist); Dr. Iyer (Oncologist); Dr. Reddy (Endocrinologist)
Hospital #42,Guntur,Andhra Pradesh,Guntur,855.9,14.341428353881549,78.77691679863644,2.9,28,Artemis Hospital 43,Dr. Mehta (Gastroenterologist); Dr. Verma (Neurologist); Dr. Roy (Psychiatrist); Dr. Ahuja (Cardiologist); Dr. Reddy (Endocrinologist)
Hospital #43,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.466520400587791,78.84326319114953,3.9,162,Wockhardt Hospital 44,Dr. Reddy (Endocrinologist); Dr. Iyer (Oncologist); Dr. Singh (ENT Specialist); Dr. Nair (Orthopedic); Dr. Verma (Neurologist)
Hospital #44,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.484706992506537,78.80586845894406,3.7,180,Saket City Hospital 45,Dr. Singh (ENT Specialist); Dr. Iyer (Oncologist); Dr. Verma (Neurologist); Dr. Das (Pediatrician); Dr. Ahuja (Cardiologist)
Hospital #45,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.470661640087528,78.82192448770056,4.9,1889,Saket City Hospital 46,Dr. Gupta (Dermatologist); Dr. Singh (ENT Specialist); Dr. Verma (Neurologist); Dr. Mehta (Gastroenterologist); Dr. Reddy (Endocrinologist)
Hospital #46,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.458795384994133,78.83310235486508,3.3,57,Wockhardt Hospital 47,Dr. Verma (Neurologist); Dr. Ahuja (Cardiologist); Dr. Gupta (Dermatologist); Dr. Reddy (Endocrinologist); Dr. Iyer (Oncologist)
Hospital #47,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.505292878714704,78.75341414085172,3.3,89,Paras Hospital 48,Dr. Singh (ENT Specialist); Dr. Roy (Psychiatrist); Dr. Verma (Neurologist); Dr. Das (Pediatrician); Dr. Reddy (Endocrinologist)
Hospital #48,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.469167252919728,78.81863393078899,2.8,135,BLK Hospital 49,Dr. Nair (Orthopedic); Dr. Roy (Psychiatrist); Dr. Mehta (Gastroenterologist); Dr. Das (Pediatrician); Dr. Iyer (Oncologist)
Hospital #49,Kakinada,Andhra Pradesh,Kakinada,693.04,17.033348253057497,82.22018896672532,4.9,4941,BLK Hospital 50,Dr. Das (Pediatrician); Dr. Singh (ENT Specialist); Dr. Ahuja (Cardiologist); Dr. Mehta (Gastroenterologist); Dr. Iyer (Oncologist)
Hospital #50,Kakinada,Andhra Pradesh,Kakinada,693.04,15.827262948027276,78.04021836041206,4.7,2160,Paras Hospital 51,Dr. Nair (Orthopedic); Dr. Ahuja (Cardiologist); Dr. Mehta (Gastroenterologist); Dr. Verma (Neurologist); Dr. Das (Pediatrician)
Hospital #51,Kurnool,Andhra Pradesh,Kurnool,284.67,15.833251856909897,78.03491913940833,4.8,1359,BLK Hospital 52,Dr. Gupta (Dermatologist); Dr. Roy (Psychiatrist); Dr. Nair (Orthopedic); Dr. Ahuja (Cardiologist); Dr. Verma (Neurologist)
Hospital #52,Kurnool,Andhra Pradesh,Kurnool,284.67,15.770867406890616,78.03947406362373,3.6,414,Max Hospital 53,Dr. Iyer (Oncologist); Dr. Singh (ENT Specialist); Dr. Mehta (Gastroenterologist); Dr. Roy (Psychiatrist); Dr. Reddy (Endocrinologist)
Hospital #53,Kurnool,Andhra Pradesh,Kurnool,284.67,15.444278311724698,78.49048458684956,3.2,84,Saket City Hospital 54,Dr. Singh (ENT Specialist); Dr. Nair (Orthopedic); Dr. Das (Pediatrician); Dr. Verma (Neurologist); Dr. Ahuja (Cardiologist)
Hospital #54,Kurnool,Andhra Pradesh,Kurnool,284.67,15.478322619967628,78.47812322945379,4.2,100,Columbia Asia Hospital 55,Dr. Ahuja (Cardiologist); Dr. Verma (Neurologist); Dr. Mehta (Gastroenterologist); Dr. Gupta (Dermatologist); Dr. Iyer (Oncologist)
Hospital #55,Kurnool,Andhra Pradesh,Kurnool,284.67,15.491595691581466,78.4669140700423,4.7,7615,Medanta Hospital 56,Dr. Das (Pediatrician); Dr. Roy (Psychiatrist); Dr. Iyer (Oncologist); Dr. Mehta (Gastroenterologist); Dr. Reddy (Endocrinologist)
Hospital #56,Nandyal,Andhra Pradesh,Nandyal,184.032,15.463547925124136,78.52193415946226,3.3,59,Wockhardt Hospital 57,Dr. Mehta (Gastroenterologist); Dr. Das (Pediatrician); Dr. Gupta (Dermatologist); Dr. Nair (Orthopedic); Dr. Iyer (Oncologist)
Hospital #57,Nandyal,Andhra Pradesh,Nandyal,184.032,15.514889654516594,78.49942338658286,3.4,25,Global Hospital 58,Dr. Verma (Neurologist); Dr. Iyer (Oncologist); Dr. Roy (Psychiatrist); Dr. Gupta (Dermatologist); Dr. Reddy (Endocrinologist)
Hospital #58,Nandyal,Andhra Pradesh,Nandyal,184.032,15.48727483242105,78.4296866823078,3.7,232,Max Hospital 59,Dr. Singh (ENT Specialist); Dr. Verma (Neurologist); Dr. Iyer (Oncologist); Dr. Mehta (Gastroenterologist); Dr. Ahuja (Cardiologist)
Hospital #59,Nandyal,Andhra Pradesh,Nandyal,184.032,15.389756601796671,78.4469496045302,4.2,24,Manipal Hospital 60,Dr. Nair (Orthopedic); Dr. Gupta (Dermatologist); Dr. Reddy (Endocrinologist); Dr. Roy (Psychiatrist); Dr. Singh (ENT Specialist)
Hospital #60,Nelamangala,Andhra Pradesh,Bangalore Rural,441.0,18.1670625,83.4464929,4.0,73,Max Hospital 61,Dr. Reddy (Endocrinologist); Dr. Gupta (Dermatologist); Dr. Roy (Psychiatrist); Dr. Nair (Orthopedic); Dr. Verma (Neurologist)
Hospital #61,Nellore,Andhra Pradesh,Nellore,236.0,14.410310751497176,80.00197981156052,3.5,66,Columbia Asia Hospital 62,Dr. Das (Pediatrician); Dr. Mehta (Gastroenterologist); Dr. Iyer (Oncologist); Dr. Nair (Orthopedic); Dr. Gupta (Dermatologist)
Hospital #62,Nellore,Andhra Pradesh,Nellore,236.0,14.530603915925036,79.95286473075723,3.9,67,Manipal Hospital 63,Dr. Singh (ENT Specialist); Dr. Nair (Orthopedic); Dr. Das (Pediatrician); Dr. Ahuja (Cardiologist); Dr. Reddy (Endocrinologist)
Hospital #63,Nellore,Andhra Pradesh,Nellore,236.0,14.442023929923684,79.95349572002995,4.9,105,Global Hospital 64,Dr. Mehta (Gastroenterologist); Dr. Roy (Psychiatrist); Dr. Singh (ENT Specialist); Dr. Iyer (Oncologist); Dr. Ahuja (Cardiologist)
Hospital #64,Nellore,Andhra Pradesh,Nellore,236.0,14.417458910672469,79.92314950582002,3.9,21,Columbia Asia Hospital 65,Dr. Verma (Neurologist); Dr. Reddy (Endocrinologist); Dr. Iyer (Oncologist); Dr. Mehta (Gastroenterologist); Dr. Nair (Orthopedic)
Hospital #65,Nellore,Andhra Pradesh,Nellore,236.0,14.5000445864409,79.94529820442895,4.5,20,Fortis Hospital 66,Dr. Roy (Psychiatrist); Dr. Mehta (Gastroenterologist); Dr. Reddy (Endocrinologist); Dr. Iyer (Oncologist); Dr. Gupta (Dermatologist)
Hospital #66,Nellore,Andhra Pradesh,Nellore,236.0,14.43669262995099,79.9928041986446,4.9,13062,Medanta Hospital 67,Dr. Roy (Psychiatrist); Dr. Singh (ENT Specialist); Dr. Verma (Neurologist); Dr. Ahuja (Cardiologist); Dr. Reddy (Endocrinologist)
Hospital #67,Nellore,Andhra Pradesh,Nellore,236.0,14.471349234463815,79.97068964116961,4.1,90,Global Hospital 68,Dr. Gupta (Dermatologist); Dr. Roy (Psychiatrist); Dr. Mehta (Gastroenterologist); Dr. Ahuja (Cardiologist); Dr. Verma (Neurologist)
Hospital #68,Nellore,Andhra Pradesh,Nellore,236.0,14.456045577253152,79.9838487933919,4.7,1845,Saket City Hospital 69,Dr. Mehta (Gastroenterologist); Dr. Iyer (Oncologist); Dr. Ahuja (Cardiologist); Dr. Singh (ENT Specialist); Dr. Nair (Orthopedic)
Hospital #69,Nellore,Andhra Pradesh,Nellore,236.0,14.130460407170151,79.88333900810004,4.0,151,BLK Hospital 70,Dr. Mehta (Gastroenterologist); Dr. Verma (Neurologist); Dr. Iyer (Oncologist); Dr. Gupta (Dermatologist); Dr. Nair (Orthopedic)
Hospital #70,Nellore,Andhra Pradesh,Nellore,236.0,14.378376542779534,79.9891380609805,3.6,132,Fortis Hospital 71,Dr. Mehta (Gastroenterologist); Dr. Ahuja (Cardiologist); Dr. Roy (Psychiatrist); Dr. Verma (Neurologist); Dr. Singh (ENT Specialist)
Hospital #71,Nellore,Andhra Pradesh,Nellore,236.0,14.47063612237027,79.97359550436475,4.6,15,Artemis Hospital 72,Dr. Roy (Psychiatrist); Dr. Gupta (Dermatologist); Dr. Singh (ENT Specialist); Dr. Mehta (Gastroenterologist); Dr. Nair (Orthopedic)
Hospital #72,Nellore,Andhra Pradesh,Nellore,236.0,14.442501647978675,79.9789955769064,4.1,229,Global Hospital 73,Dr. Ahuja (Cardiologist); Dr. Singh (ENT Specialist); Dr. Iyer (Oncologist); Dr. Roy (Psychiatrist); Dr. Verma (Neurologist)
Hospital #73,Nellore,Andhra Pradesh,Nellore,236.0,14.42941602207874,79.9910566053979,4.1,199,Artemis Hospital 74,Dr. Roy (Psychiatrist); Dr. Reddy (Endocrinologist); Dr. Verma (Neurologist); Dr. Ahuja (Cardiologist); Dr. Das (Pediatrician)
Hospital #74,Nellore,Andhra Pradesh,Nellore,236.0,14.460074264769023,80.00368004755758,3.0,29,Manipal Hospital 75,Dr. Iyer (Oncologist); Dr. Nair (Orthopedic); Dr. Gupta (Dermatologist); Dr. Mehta (Gastroenterologist); Dr. Singh (ENT Specialist)
Hospital #75,Nellore,Andhra Pradesh,Nellore,236.0,14.45578580899101,79.92091253084178,4.3,82,Fortis Hospital 76,Dr. Ahuja (Cardiologist); Dr. Das (Pediatrician); Dr. Singh (ENT Specialist); Dr. Roy (Psychiatrist); Dr. Verma (Neurologist)
Hospital #76,Ongole,Andhra Pradesh,Prakasam,160.0,15.50592427373531,80.03080159392952,3.6,35,Medanta Hospital 77,Dr. Ahuja (Cardiologist); Dr. Das (Pediatrician); Dr. Nair (Orthopedic); Dr. Mehta (Gastroenterologist); Dr. Singh (ENT Specialist)
Hospital #77,Ongole,Andhra Pradesh,Prakasam,160.0,15.497340729114214,80.03480417706339,4.4,40,Saket City Hospital 78,Dr. Singh (ENT Specialist); Dr. Roy (Psychiatrist); Dr. Gupta (Dermatologist); Dr. Mehta (Gastroenterologist); Dr. Das (Pediatrician)
Hospital #78,Ongole,Andhra Pradesh,Prakasam,160.0,15.622570449314928,79.99142191394283,3.1,47,Paras Hospital 79,Dr. Gupta (Dermatologist); Dr. Mehta (Gastroenterologist); Dr. Iyer (Oncologist); Dr. Roy (Psychiatrist); Dr. Singh (ENT Specialist)
Hospital #79,Ongole,Andhra Pradesh,Prakasam,160.0,15.520991705551506,80.03092807425688,4.7,193,Saket City Hospital 80,Dr. Reddy (Endocrinologist); Dr. Roy (Psychiatrist); Dr. Nair (Orthopedic); Dr. Iyer (Oncologist); Dr. Verma (Neurologist)
Hospital #80,Ongole,Andhra Pradesh,Prakasam,160.0,15.556692014821657,80.05001988773634,3.8,47,Columbia Asia Hospital 81,Dr. Iyer (Oncologist); Dr. Ahuja (Cardiologist); Dr. Mehta (Gastroenterologist); Dr. Gupta (Dermatologist); Dr. Singh (ENT Specialist)
Hospital #81,Ongole,Andhra Pradesh,Prakasam,160.0,15.512155796830662,80.05025315468981,3.6,103,Saket City Hospital 82,Dr. Ahuja (Cardiologist); Dr. Singh (ENT Specialist); Dr. Reddy (Endocrinologist); Dr. Nair (Orthopedic); Dr. Gupta (Dermatologist)
Hospital #82,Proddutur,Andhra Pradesh,Ysr Kadapa,183.532,14.70350719098175,78.54262760917568,4.3,11,Primus Hospital 83,Dr. Reddy (Endocrinologist); Dr. Verma (Neurologist); Dr. Iyer (Oncologist); Dr. Singh (ENT Specialist); Dr. Ahuja (Cardiologist)
Hospital #83,Proddutur,Andhra Pradesh,Ysr Kadapa,183.532,14.795061323780608,78.51921981549705,3.8,33,Narayana Hospital 84,Dr. Iyer (Oncologist); Dr. Das (Pediatrician); Dr. Nair (Orthopedic); Dr. Gupta (Dermatologist); Dr. Reddy (Endocrinologist)
Hospital #84,Proddutur,Andhra Pradesh,Ysr Kadapa,183.532,14.745297847268636,78.51729858922384,3.6,33,Paras Hospital 85,Dr. Singh (ENT Specialist); Dr. Iyer (Oncologist); Dr. Ahuja (Cardiologist); Dr. Nair (Orthopedic); Dr. Gupta (Dermatologist)
Hospital #85,Rajahmundry,Andhra Pradesh,East Godavari,715.46,17.028181883282425,81.81210307578621,5.0,190,Max Hospital 86,Dr. Gupta (Dermatologist); Dr. Das (Pediatrician); Dr. Reddy (Endocrinologist); Dr. Singh (ENT Specialist); Dr. Verma (Neurologist)
Hospital #86,Srikakulam,Andhra Pradesh,Srikakulam,477.34,16.580504256552313,81.70734518769693,3.5,26,BLK Hospital 87,Dr. Singh (ENT Specialist); Dr. Roy (Psychiatrist); Dr. Gupta (Dermatologist); Dr. Das (Pediatrician); Dr. Verma (Neurologist)
Hospital #87,Tadepalligudem,Andhra Pradesh,West Godavari,817.3,16.826144322733317,81.77596877192055,4.0,41,Apollo Hospital 88,Dr. Gupta (Dermatologist); Dr. Das (Pediatrician); Dr. Verma (Neurologist); Dr. Mehta (Gastroenterologist); Dr. Reddy (Endocrinologist)
Hospital #88,Tanuku,Andhra Pradesh,West Godavari,817.3,16.815795444837967,81.6797409051013,3.8,76,Medanta Hospital 89,Dr. Mehta (Gastroenterologist); Dr. Nair (Orthopedic); Dr. Das (Pediatrician); Dr. Roy (Psychiatrist); Dr. Gupta (Dermatologist)
Hospital #89,Tanuku,Andhra Pradesh,West Godavari,817.3,16.746191776714536,81.7246141001579,4.6,37,Fortis Hospital 90,Dr. Das (Pediatrician); Dr. Singh (ENT Specialist); Dr. Nair (Orthopedic); Dr. Reddy (Endocrinologist); Dr. Verma (Neurologist)
Hospital #90,Tanuku,Andhra Pradesh,West Godavari,817.3,16.762792264860575,81.67061553653826,4.4,132,Narayana Hospital 91,Dr. Roy (Psychiatrist); Dr. Das (Pediatrician); Dr. Iyer (Oncologist); Dr. Verma (Neurologist); Dr. Nair (Orthopedic)
Hospital #91,Tirupati,Andhra Pradesh,Tirupati,241.72,13.595494866272436,79.40312800341576,3.8,102,Medanta Hospital 92,Dr. Nair (Orthopedic); Dr. Roy (Psychiatrist); Dr. Ahuja (Cardiologist); Dr. Verma (Neurologist); Dr. Das (Pediatrician)
Hospital #92,Tirupati,Andhra Pradesh,Tirupati,241.72,13.634939344525272,79.42737863304455,4.3,1080,Fortis Hospital 93,Dr. Verma (Neurologist); Dr. Singh (ENT Specialist); Dr. Nair (Orthopedic); Dr. Reddy (Endocrinologist); Dr. Roy (Psychiatrist)
Hospital #93,Tirupati,Andhra Pradesh,Tirupati,241.72,13.616664487787382,79.41373341935443,4.5,92,BLK Hospital 94,Dr. Verma (Neurologist); Dr. Reddy (Endocrinologist); Dr. Singh (ENT Specialist); Dr. Gupta (Dermatologist); Dr. Iyer (Oncologist)
